h10773
s 01209/00000/00000
d D 1.1 93/02/03 15:08:34 suprem45 1 0
c date and time created 93/02/03 15:08:34 by suprem45
e
u
U
f e 0
t
T
I 1
* Version 4.4 4/8/91 16:07:41
*
*    S3IMP0 - SUPREM-3 implant distribution statistics file.
*
*    Date code: <820915.2110>
*
*    Notes: (1) 0 0 denotes a comment line.
*           (2) File will be read with list-directed I/O (free format).
*           (3) Data for each combination of material and element must
*               be in numerical order by energy.
*           (4) Data for each combination of material, element, and
*               energy must appear only once.
*           (5) Due to lack of data, polysilicon and single crystal
*               silicon as well as thermal oxide and deposited oxide
*               are assumed to have the same distribution statistics.
*
*    File format:
*
*    column 1: Material identifier:
*                1 => silicon
*                2 => oxide (thermal or deposited)
*                3 => polysilicon
*                4 => silicon-nitride
*                5 => aluminum
*    column 2: Element identifier:
*                1 => boron
*                2 => phosphorus
*                3 => arsenic
*                4 => antimony
*		 5 => BF2
*    column 3: Implant energy (keV)
*    column 4: Projected range (RP) (microns)
*    column 5: Vertical projected standard deviation (DRP) (microns)
*    column 6: Third moment ratio (GAMMA) (no units)
*    column 7: Fourth moment (beta2)  (no units)
*
*    Reference: J. E. Gibbons, W. S. Johnson, and S. W. Mylroie,
*               Projected Range Statistics (2nd edition), Stroudsburg,
*               Pennsylvania: Dowden, Hutchinson, & Ross, Inc., 1975.
*          NOTE: this info taken from LEE Christel.
*
*
*    Original: Michael Eldredge                          Dec.  1, 1981
*    Mod # 1 : Mike Kump                                 May  25, 1982
*    Mod # 2 : Stephen E. Hansen                         June  5, 1982
*    Mod # 3 : M.J.Eldredge  (Use the new Tables)        Aug. 10, 1982
*
*    Copyright (C) 1981 Board of Trustees of the Leland Stanford Junior
*                     University.  All Rights Reserved.
*
*    This routine may not be used outside of the SUPREM-3 computer
*    program without the prior written consent of the Board of Trustees
*    of the Leland Stanford Junior University.
*
*
*-------------------------------------------------------------------
*
*    Material: Silicon     [1]
*    Element : boron       [1]
*
*     energy    rp     drp   gamma  beta2    lrp
4  3   190.  0.0733  0.0222   0.434  3.2063  0.0222
4  3   200.  0.0770  0.0232   0.426  3.1966  0.0231
4  3   220.  0.0843  0.0251   0.409  3.1730  0.0251
4  3   240.  0.0917  0.0271   0.392  3.1514  0.0270
4  3   260.  0.0991  0.0290   0.376  3.1326  0.0289
4  3   280.  0.1065  0.0308   0.362  3.1163  0.0308
4  3   300.  0.1140  0.0327   0.348  3.1006  0.0326
4  3   320.  0.1216  0.0345   0.336  3.0872  0.0345
4  3   340.  0.1291  0.0364   0.323  3.0741  0.0363
4  3   360.  0.1367  0.0382   0.311  3.0620  0.0382
4  3   380.  0.1444  0.0399   0.302  3.0535  0.0400
4  3   400.  0.1520  0.0417   0.290  3.0421  0.0418
4  3   420.  0.1597  0.0434   0.282  3.0345  0.0436
4  3   440.  0.1675  0.0451   0.273  3.0268  0.0454
4  3   460.  0.1752  0.0468   0.266  3.0210  0.0472
4  3   480.  0.1829  0.0484   0.259  3.0147  0.0490
4  3   500.  0.1907  0.0501   0.251  3.0082  0.0508
4  3   550.  0.2102  0.0541   0.223  2.9879  0.0551
4  3   600.  0.2298  0.0580   0.198  2.9712  0.0594
4  3   650.  0.2494  0.0617   0.176  2.9585  0.0636
4  3   700.  0.2690  0.0653   0.157  2.9483  0.0677
4  3   750.  0.2886  0.0689   0.139  2.9404  0.0718
4  3   800.  0.3082  0.0723   0.124  2.9340  0.0758
4  3   850.  0.3279  0.0756   0.110  2.9289  0.0797
4  3   900.  0.3474  0.0788   0.097  2.9248  0.0835
4  3   950.  0.3670  0.0819   0.086  2.9215  0.0873
4  3  1000.  0.3864  0.0849   0.075  2.9188  0.0910
*
* ---------------------------------------------------------------
*
*    Material: Silicon-nitride  [4]
*    Element : antimony         [4]
*
*     energy    rp     drp   gamma  beta2    ldrp
4  4    10.  0.0077  0.0021   0.465  3.2511  0.0022
4  4    20.  0.0117  0.0032   0.462  3.2467  0.0034
4  4    30.  0.0151  0.0041   0.462  3.2476  0.0043
4  4    40.  0.0183  0.0049   0.463  3.2492  0.0052
4  4    50.  0.0212  0.0057   0.464  3.2502  0.0059
4  4    60.  0.0240  0.0064   0.464  3.2505  0.0067
4  4    70.  0.0267  0.0071   0.464  3.2503  0.0074
4  4    80.  0.0294  0.0078   0.464  3.2496  0.0081
4  4    90.  0.0320  0.0085   0.463  3.2486  0.0087
4  4   100.  0.0345  0.0092   0.462  3.2474  0.0094
4  4   110.  0.0370  0.0099   0.461  3.2459  0.0100
4  4   120.  0.0395  0.0105   0.460  3.2442  0.0107
4  4   130.  0.0420  0.0112   0.459  3.2423  0.0113
4  4   140.  0.0445  0.0118   0.457  3.2404  0.0119
4  4   150.  0.0469  0.0124   0.456  3.2383  0.0125
4  4   160.  0.0494  0.0131   0.455  3.2361  0.0131
4  4   170.  0.0518  0.0137   0.453  3.2338  0.0136
4  4   180.  0.0542  0.0143   0.451  3.2315  0.0142
4  4   190.  0.0566  0.0149   0.450  3.2290  0.0148
4  4   200.  0.0590  0.0156   0.448  3.2265  0.0154
4  4   220.  0.0638  0.0168   0.441  3.2170  0.0165
4  4   240.  0.0686  0.0180   0.435  3.2079  0.0176
4  4   260.  0.0734  0.0192   0.429  3.1995  0.0187
4  4   280.  0.0782  0.0204   0.423  3.1918  0.0198
4  4   300.  0.0830  0.0216   0.417  3.1844  0.0209
4  4   320.  0.0878  0.0227   0.412  3.1773  0.0220
4  4   340.  0.0926  0.0239   0.407  3.1704  0.0230
4  4   360.  0.0975  0.0251   0.401  3.1637  0.0241
4  4   380.  0.1023  0.0262   0.396  3.1572  0.0252
4  4   400.  0.1071  0.0274   0.391  3.1508  0.0262
4  4   420.  0.1120  0.0285   0.386  3.1447  0.0273
4  4   440.  0.1169  0.0297   0.381  3.1389  0.0283
4  4   460.  0.1217  0.0308   0.376  3.1326  0.0294
4  4   480.  0.1266  0.0319   0.371  3.1267  0.0304
4  4   500.  0.1315  0.0331   0.367  3.1215  0.0314
4  4   550.  0.1438  0.0358   0.352  3.1050  0.0340
4  4   600.  0.1562  0.0386   0.338  3.0897  0.0366
4  4   650.  0.1687  0.0413   0.325  3.0759  0.0391
4  4   700.  0.1812  0.0440   0.313  3.0637  0.0416
4  4   750.  0.1938  0.0467   0.302  3.0526  0.0441
4  4   800.  0.2064  0.0493   0.290  3.0422  0.0466
4  4   850.  0.2191  0.0519   0.280  3.0331  0.0491
4  4   900.  0.2318  0.0544   0.270  3.0242  0.0516
4  4   950.  0.2446  0.0569   0.260  3.0162  0.0540
4  4  1000.  0.2575  0.0594   0.252  3.0092  0.0564
*
* ---------------------------------------------------------------
*
*    Material: aluminum    [5]
*    Element : boron       [1]
*
*     energy    rp     drp   gamma  beta2    ldrp
5  1    10.  0.0344  0.0186   0.036  2.9120  0.0255
5  1    20.  0.0702  0.0321  -0.188  2.9655  0.0459
5  1    30.  0.1069  0.0434  -0.350  3.1028  0.0640
5  1    40.  0.1434  0.0529  -0.477  3.2692  0.0803
5  1    50.  0.1793  0.0611  -0.581  3.4471  0.0949
5  1    60.  0.2145  0.0683  -0.671  3.6296  0.1082
5  1    70.  0.2487  0.0747  -0.749  3.8138  0.1202
5  1    80.  0.2821  0.0803  -0.819  3.9980  0.1313
5  1    90.  0.3147  0.0854  -0.883  4.1816  0.1415
5  1   100.  0.3465  0.0900  -0.942  4.3643  0.1510
5  1   110.  0.3775  0.0942  -0.996  4.5458  0.1598
5  1   120.  0.4078  0.0980  -1.046  4.7260  0.1680
5  1   130.  0.4374  0.1016  -1.094  4.9050  0.1757
5  1   140.  0.4663  0.1048  -1.138  5.0828  0.1829
5  1   150.  0.4946  0.1079  -1.181  5.2594  0.1897
5  1   160.  0.5224  0.1107  -1.221  5.4349  0.1962
5  1   170.  0.5496  0.1133  -1.259  5.6093  0.2023
5  1   180.  0.5763  0.1158  -1.296  5.7827  0.2081
5  1   190.  0.6024  0.1181  -1.331  5.9551  0.2136
5  1   200.  0.6281  0.1203  -1.365  6.1266  0.2188
5  1   220.  0.6782  0.1243  -1.428  6.4658  0.2286
5  1   240.  0.7267  0.1279  -1.487  6.8021  0.2375
5  1   260.  0.7736  0.1312  -1.543  7.1356  0.2458
5  1   280.  0.8192  0.1342  -1.596  7.4667  0.2534
5  1   300.  0.8636  0.1369  -1.646  7.7955  0.2605
5  1   320.  0.9067  0.1394  -1.693  8.1221  0.2671
5  1   340.  0.9488  0.1418  -1.738  8.4468  0.2733
5  1   360.  0.9899  0.1439  -1.782  8.7697  0.2791
5  1   380.  1.0301  0.1459  -1.823  9.0908  0.2846
5  1   400.  1.0694  0.1478  -1.863  9.4103  0.2898
5  1   420.  1.1078  0.1496  -1.902  9.7284  0.2947
5  1   440.  1.1455  0.1512  -1.939 10.0450  0.2993
5  1   460.  1.1824  0.1528  -1.975 10.3603  0.3037
5  1   480.  1.2187  0.1542  -2.009 10.6743  0.3079
5  1   500.  1.2543  0.1556  -2.043 10.9871  0.3119
5  1   550.  1.3407  0.1588  -2.122 11.7578  0.3211
5  1   600.  1.4236  0.1616  -2.196 12.5231  0.3294
5  1   650.  1.5035  0.1641  -2.265 13.2831  0.3369
5  1   700.  1.5806  0.1664  -2.331 14.0383  0.3437
5  1   750.  1.6552  0.1684  -2.393 14.7889  0.3499
5  1   800.  1.7276  0.1703  -2.451 15.5353  0.3557
5  1   850.  1.7979  0.1720  -2.508 16.2777  0.3610
5  1   900.  1.8663  0.1736  -2.561 17.0163  0.3660
5  1   950.  1.9329  0.1750  -2.613 17.7514  0.3706
5  1  1000.  1.9980  0.1764  -2.662 18.4831  0.3749
*
* ---------------------------------------------------------------
*
*    Material: aluminum    [5]
*    Element : Phosphorus  [2]
*
*     energy    rp     drp   gamma  beta2    ldrp
5  2    10.  0.0137  0.0067   0.598  3.4791  0.0079
5  2    20.  0.0243  0.0113   0.516  3.3310  0.0132
5  2    30.  0.0350  0.0155   0.437  3.2109  0.0183
5  2    40.  0.0459  0.0196   0.369  3.1243  0.0232
5  2    50.  0.0569  0.0236   0.309  3.0601  0.0280
5  2    60.  0.0681  0.0274   0.255  3.0121  0.0327
5  2    70.  0.0795  0.0311   0.207  2.9768  0.0373
5  2    80.  0.0910  0.0346   0.162  2.9511  0.0418
5  2    90.  0.1026  0.0381   0.121  2.9330  0.0462
5  2   100.  0.1143  0.0415   0.084  2.9209  0.0506
5  2   110.  0.1260  0.0447   0.049  2.9137  0.0549
5  2   120.  0.1378  0.0479   0.017  2.9104  0.0591
5  2   130.  0.1496  0.0509  -0.014  2.9103  0.0633
5  2   140.  0.1614  0.0539  -0.041  2.9126  0.0674
5  2   150.  0.1733  0.0568  -0.067  2.9171  0.0714
5  2   160.  0.1851  0.0595  -0.090  2.9227  0.0753
5  2   170.  0.1970  0.0623  -0.114  2.9303  0.0792
5  2   180.  0.2088  0.0649  -0.135  2.9385  0.0829
5  2   190.  0.2206  0.0675  -0.155  2.9477  0.0867
5  2   200.  0.2324  0.0700  -0.174  2.9571  0.0903
5  2   220.  0.2559  0.0748  -0.214  2.9817  0.0974
5  2   240.  0.2792  0.0793  -0.252  3.0094  0.1043
5  2   260.  0.3024  0.0836  -0.287  3.0394  0.1110
5  2   280.  0.3255  0.0877  -0.320  3.0711  0.1174
5  2   300.  0.3483  0.0916  -0.351  3.1040  0.1236
5  2   320.  0.3710  0.0953  -0.381  3.1380  0.1296
5  2   340.  0.3934  0.0989  -0.409  3.1728  0.1354
5  2   360.  0.4157  0.1023  -0.435  3.2082  0.1411
5  2   380.  0.4378  0.1055  -0.460  3.2444  0.1465
5  2   400.  0.4597  0.1086  -0.484  3.2808  0.1519
5  2   420.  0.4813  0.1116  -0.507  3.3176  0.1570
5  2   440.  0.5028  0.1145  -0.530  3.3552  0.1620
5  2   460.  0.5241  0.1173  -0.552  3.3930  0.1669
5  2   480.  0.5452  0.1199  -0.573  3.4312  0.1716
5  2   500.  0.5661  0.1225  -0.593  3.4692  0.1762
5  2   550.  0.6175  0.1284  -0.646  3.5770  0.1872
5  2   600.  0.6678  0.1339  -0.696  3.6859  0.1975
5  2   650.  0.7170  0.1389  -0.741  3.7943  0.2072
5  2   700.  0.7652  0.1436  -0.784  3.9020  0.2164
5  2   750.  0.8124  0.1479  -0.823  4.0089  0.2250
5  2   800.  0.8587  0.1519  -0.861  4.1149  0.2332
5  2   850.  0.9041  0.1557  -0.896  4.2203  0.2410
5  2   900.  0.9486  0.1592  -0.929  4.3247  0.2484
5  2   950.  0.9924  0.1625  -0.961  4.4282  0.2554
5  2  1000.  1.0353  0.1656  -0.992  4.5307  0.2622
*
* ---------------------------------------------------------------
*
*    Material: aluminum    [5]
*    Element : arsenic     [3]
*
*     energy    rp     drp   gamma  beta2    ldrp
5  3    10.  0.0105  0.0038   0.633  3.5490  0.0042
5  3    20.  0.0166  0.0060   0.619  3.5202  0.0066
5  3    30.  0.0221  0.0080   0.611  3.5042  0.0086
5  3    40.  0.0273  0.0098   0.604  3.4908  0.0105
5  3    50.  0.0324  0.0115   0.597  3.4783  0.0123
5  3    60.  0.0373  0.0132   0.591  3.4662  0.0140
5  3    70.  0.0423  0.0149   0.585  3.4545  0.0156
5  3    80.  0.0471  0.0165   0.579  3.4431  0.0173
5  3    90.  0.0520  0.0181   0.573  3.4320  0.0189
5  3   100.  0.0569  0.0197   0.567  3.4212  0.0205
5  3   110.  0.0618  0.0213   0.561  3.4106  0.0220
5  3   120.  0.0667  0.0228   0.556  3.4002  0.0236
5  3   130.  0.0716  0.0244   0.550  3.3899  0.0251
5  3   140.  0.0765  0.0259   0.544  3.3797  0.0267
5  3   150.  0.0815  0.0274   0.538  3.3697  0.0282
5  3   160.  0.0864  0.0289   0.532  3.3595  0.0297
5  3   170.  0.0914  0.0304   0.527  3.3502  0.0312
5  3   180.  0.0964  0.0319   0.519  3.3363  0.0327
5  3   190.  0.1014  0.0334   0.510  3.3221  0.0342
5  3   200.  0.1064  0.0349   0.502  3.3090  0.0357
5  3   220.  0.1165  0.0378   0.481  3.2757  0.0387
5  3   240.  0.1267  0.0407   0.462  3.2477  0.0416
5  3   260.  0.1370  0.0435   0.447  3.2252  0.0445
5  3   280.  0.1473  0.0463   0.432  3.2039  0.0474
5  3   300.  0.1576  0.0491   0.419  3.1867  0.0503
5  3   320.  0.1680  0.0519   0.407  3.1713  0.0531
5  3   340.  0.1785  0.0546   0.395  3.1558  0.0560
5  3   360.  0.1890  0.0572   0.382  3.1398  0.0588
5  3   380.  0.1995  0.0599   0.370  3.1248  0.0616
5  3   400.  0.2101  0.0625   0.358  3.1112  0.0644
5  3   420.  0.2208  0.0651   0.341  3.0921  0.0672
5  3   440.  0.2314  0.0676   0.332  3.0835  0.0699
5  3   460.  0.2421  0.0701   0.326  3.0773  0.0726
5  3   480.  0.2528  0.0726   0.318  3.0692  0.0754
5  3   500.  0.2636  0.0750   0.319  3.0694  0.0781
5  3   550.  0.2905  0.0810   0.289  3.0406  0.0847
5  3   600.  0.3176  0.0868   0.261  3.0171  0.0913
5  3   650.  0.3447  0.0924   0.237  2.9982  0.0977
5  3   700.  0.3718  0.0979   0.217  2.9840  0.1040
5  3   750.  0.3990  0.1031   0.200  2.9724  0.1102
5  3   800.  0.4262  0.1083   0.185  2.9636  0.1163
5  3   850.  0.4533  0.1132   0.172  2.9563  0.1223
5  3   900.  0.4804  0.1180   0.160  2.9498  0.1282
5  3   950.  0.5075  0.1227   0.148  2.9440  0.1340
5  3  1000.  0.5345  0.1272   0.137  2.9395  0.1397
*
* ---------------------------------------------------------------
*
*    Material: aluminum    [5]
*    Element : antimony    [4]
*
*     energy    rp     drp   gamma  beta2    ldrp
5  4    10.  0.0105  0.0031   0.537  3.3671  0.0034
5  4    20.  0.0160  0.0047   0.533  3.3604  0.0051
5  4    30.  0.0206  0.0061   0.533  3.3610  0.0066
5  4    40.  0.0249  0.0074   0.534  3.3619  0.0079
5  4    50.  0.0289  0.0085   0.534  3.3621  0.0090
5  4    60.  0.0327  0.0096   0.534  3.3615  0.0102
5  4    70.  0.0364  0.0107   0.533  3.3604  0.0113
5  4    80.  0.0400  0.0118   0.532  3.3589  0.0123
5  4    90.  0.0436  0.0128   0.531  3.3570  0.0133
5  4   100.  0.0471  0.0138   0.530  3.3550  0.0143
5  4   110.  0.0505  0.0148   0.529  3.3528  0.0152
5  4   120.  0.0539  0.0158   0.527  3.3504  0.0162
5  4   130.  0.0573  0.0168   0.526  3.3480  0.0171
5  4   140.  0.0607  0.0177   0.524  3.3454  0.0180
5  4   150.  0.0640  0.0187   0.523  3.3428  0.0189
5  4   160.  0.0673  0.0196   0.521  3.3401  0.0198
5  4   170.  0.0707  0.0206   0.519  3.3373  0.0207
5  4   180.  0.0740  0.0215   0.518  3.3345  0.0216
5  4   190.  0.0773  0.0224   0.516  3.3317  0.0225
5  4   200.  0.0806  0.0233   0.514  3.3288  0.0234
5  4   220.  0.0871  0.0252   0.507  3.3166  0.0251
5  4   240.  0.0937  0.0270   0.500  3.3052  0.0268
5  4   260.  0.1003  0.0288   0.493  3.2949  0.0284
5  4   280.  0.1068  0.0305   0.487  3.2853  0.0301
5  4   300.  0.1134  0.0323   0.481  3.2763  0.0317
5  4   320.  0.1200  0.0341   0.476  3.2677  0.0334
5  4   340.  0.1266  0.0358   0.470  3.2594  0.0350
5  4   360.  0.1332  0.0376   0.465  3.2513  0.0366
5  4   380.  0.1398  0.0393   0.460  3.2435  0.0382
5  4   400.  0.1464  0.0410   0.454  3.2359  0.0398
5  4   420.  0.1531  0.0427   0.449  3.2285  0.0414
5  4   440.  0.1597  0.0444   0.444  3.2210  0.0430
5  4   460.  0.1664  0.0461   0.438  3.2127  0.0446
5  4   480.  0.1731  0.0478   0.432  3.2039  0.0462
5  4   500.  0.1798  0.0495   0.425  3.1949  0.0478
5  4   550.  0.1967  0.0536   0.409  3.1732  0.0517
5  4   600.  0.2136  0.0577   0.394  3.1549  0.0556
5  4   650.  0.2307  0.0617   0.381  3.1383  0.0594
5  4   700.  0.2479  0.0657   0.368  3.1234  0.0632
5  4   750.  0.2651  0.0697   0.356  3.1093  0.0670
5  4   800.  0.2824  0.0736   0.346  3.0976  0.0708
5  4   850.  0.2998  0.0774   0.334  3.0855  0.0746
5  4   900.  0.3173  0.0812   0.324  3.0749  0.0783
5  4   950.  0.3348  0.0850   0.314  3.0648  0.0820
5  4  1000.  0.3524  0.0887   0.305  3.0561  0.0857
5  4  1000.  0.3524  0.0887  0.305  3.0561
*    S3ibo1 - SUPREM-3 implant distribution statistics file for BF2.
*
*    $Date: 91/07/23 15:41:01 $
*    $Log:	SUP4imp.dat,v $
Revision 1.1  91/07/23  15:41:01  suprem45
Initial revision

*
*    Notes: (1) Data must be in numerical order by energy.
*           (2) Data for each energy must appear only once.
*
*    File format:
*
*    column 1: Material identifier:
*                1 => silicon
*                2 => oxide (thermal or deposited)
*                3 => polysilicon
*                4 => silicon-nitride
*                5 => aluminum
*    column 2: Implant energy (keV)
*    column 3: Projected range (RP) (microns)
*    column 4: Vertical projected standard deviation (DRP) (microns)
*    column 5: Skewness or third moment ratio (GAMMA) (no units)
*    column 6: Kurtosis or fourth moment (beta2)  (no units)
*
*    Reference: C. Slaby, M. Simard-Normandin, "Empirical Range
*               Statistics for Low-energy Boron Implants in Silicon",
*               The Electrochemical Society Meeting, New Orleans,
*               October, 1984.
*
*
*    Original: Stephen E. Hansen                         May  13, 1985
*
*    Copyright (C) 1985 Board of Trustees of the Leland Stanford Junior
*                  University.  All Rights Reserved.
*
*    This routine may not be used outside of the SUPREM-3 computer
*    program without the prior written consent of the Board of Trustees
*    of the Leland Stanford Junior University.
*
*-------------------------------------------------------------------
*
*    Material: Silicon     [1]
*    Element : BF2         [5]
*
*    energy    rp      drp     gamma    beta2
1 5    25.  0.02583  0.01446 -0.65139 11.96689
1 5    50.  0.04610  0.02452 -0.11660  6.26943
1 5    75.  0.05900  0.03129 -0.23725 15.47629
1 5   100.  0.07555  0.03702 -0.18970  7.74301
1 5   120.  0.08207  0.03490 -0.36106  7.15967
*
*-------------------------------------------------------------------
*
*    Material: oxide       [2]
*    Element : BF2         [5]
*
* 5  energy    rp     drp   gamma  beta2
2 5    25.  0.0355  0.0167 -0.033  2.9117
2 5    44.5 0.0355  0.0167 -0.033  2.9117
2 5    89.1 0.0713  0.0280 -0.286  3.0378
2 5   134.  0.1068  0.0370 -0.463  3.2485
*
*-------------------------------------------------------------------
*
*    Material: polysilicon [3]
*    Element : BF2         [5]
*
* 5  energy    rp     drp   gamma  beta2
3 5    25.  0.0351  0.0182  -0.078  2.9195
3 5    44.5 0.0351  0.0182  -0.078  2.9195
3 5    89.1 0.0685  0.0296  -0.313  3.0633
3 5   134.  0.01011 0.0284  -0.480  3.2746
*
*-------------------------------------------------------------------
*
*    Material: Silicon-nitride  [4]
*    Element : BF2              [5]
*
* 5  energy    rp     drp   gamma  beta2
4 5    25.  0.0355  0.0167 -0.033  2.9117
4 5    44.5 0.0355  0.0167 -0.033  2.9117
4 5    89.1 0.0713  0.0280 -0.286  3.0378
4 5   134.  0.1068  0.0370 -0.463  3.2485
*
*-------------------------------------------------------------------
*
*    Material: aluminum    [5]
*    Element : BF2         [5]
*
* 5  energy    rp     drp   gamma  beta2
5 5    25.  0.0702  0.0321 -0.188  2.9655
5 5    50.  0.1793  0.0611 -0.581  3.4471
5 5    75.  0.2487  0.0747 -0.749  3.8138
5 5   100.  0.3465  0.0900 -0.942  4.3643
5 5   120.  0.4078  0.0980 -1.046  4.7260
E 1
